FoodID,FoodName,ServingSize,Carbs(g),Fat(g),Protein(g),Total Calories(Cal),Category,Ingredients,Image,Type,Veg_NonVeg
11,White Soyabeans,40g,19.9,2,8.1,64,Nepali,"White soybeans
Water
Salt",https://www.vidhyashomecooking.com/wp-content/uploads/2020/04/Easysoybeancurry.jpg,Dinner,Veg
12,Cucumber Pickle,15g,1.2,1,0.3,16,Nepali,"Cucumbers, thinly sliced
Mustard oil
Fenugreek seeds
Turmeric powder
Red chili powder
Salt
Vinegar or lemon juice",https://foodsofnepal.com/wp-content/uploads/2020/12/Picture11-768x576.jpg,Side Dish,Veg
13,Nepali Instant Noodles,1 unit,46,15,7.5,353,Nepali,"Wai Wai noodles
2 tablespoons vegetable oil
1 small onion, thinly sliced
1 cup mixed vegetables (carrots, cabbage, bell peppers, etc.), julienned
2 cloves garlic, minced
2 tablespoons soy sauce
1 tablespoon oyster sauce
Salt and pepper to taste
Green onions for garnish (optional)",https://omgnepal.com/wp-content/uploads/2017/11/wai-wai-6788a6a78b-768x430.jpg,Snack,Veg
14,Aloo Tama,150g,20,8,5,180,Nepali,"Bamboo shoots (tama), soaked and sliced
Potatoes, peeled and diced
Vegetable oil
Turmeric powder
Cumin seeds
Dry red chilies
Garlic, minced
Ginger, minced
Green chilies, sliced (optional)
Salt
Water",https://www.slurrp.com/web/_next/image?url=https%3A%2F%2Fimages.slurrp.com%2Fprod%2Frecipe_images%2Ftranscribe%2Fmain%20course%2FAloo-tama.webp%3Fimpolicy%3Dslurrp-20210601%26width%3D1200%26height%3D675&w=1200&q=75,Dinner,Veg
15,Dhindo,100g,25,2,4,130,Nepali,"Buckwheat flour or millet flour (makkai ko atta)
Water
Salt",https://steemitimages.com/640x0/https://cdn.steemitimages.com/DQmdyNHvN5LcGQMV9sctpxQwEugU7o33VNk1ADpv2qi6ypM/dhindo-set.jpg,Dinner,Veg
16,Yomari,100g,40,5,5,250,Nepali,"Rice flour
Water
Chaku (molasses or brown sugar)
Grated coconut
Ghee (clarified butter)",https://cdn.stunningnepal.com/wp-content/uploads/2019/11/Yomari-768x768.jpg,Dessert,Veg
17,Tomato Achar,107g,7.5,3,1.8,62,Nepali,"Ripe tomatoes, chopped
Onion, finely chopped
Garlic, minced
Ginger, minced
Green chilies, sliced
Mustard oil
Fenugreek seeds
Cumin powder
Turmeric powder
Red chili powder
Vinegar or lemon juice
Salt",https://fulltimeexplorer.com/wp-content/uploads/2020/07/Nepali-Tomato-Achar-Recipe-Step-by-Step-Instructions-IMG_5084-500x500.jpg, Side Dish,Veg
18,Choyela,100g,,10,20,250,Nepali,"Boneless chicken, thinly sliced (traditionally, it is made with water buffalo meat)
Mustard oil
Ginger-garlic paste
Timur (Szechuan pepper) powder
Turmeric powder
Red chili powder
Cumin powder
Salt
Lemon juice",https://english.khabarhub.com/wp-content/uploads/2020/10/Chicken-Choyela.jpg,Snack,Veg
19,Chatamari,1 piece,25,5,5,175,Nepali,"Rice flour
Water
Ground meat (chicken or mutton)
Onions, finely chopped
Tomatoes, finely chopped
Green chilies, finely chopped
Ginger-garlic paste
Cumin powder
Turmeric powder
Red chili powder
Salt
Oil",https://newarirecipeshut.com/wp-content/uploads/2020/09/chatamari-768x512.jpg,Snack,Veg
20,Kwati,1 cup,25,1,10,175,Nepali,"Mixed beans (black-eyed beans, kidney beans, chickpeas, green gram, etc.)
Water
Oil
Garlic, minced
Ginger, minced
Turmeric powder
Cumin powder
Chili powder
Asafoetida (hing)
Salt
Ghee (clarified butter)",https://pulses.org/images/com_yoorecipe/cropped-Sikkim_kwati-1243.jpg,Dinner,Veg
21,Chana Puri,300g,70,25,15,500,Nepali,"Chickpeas (Chana), soaked and cooked
Wheat flour
Water
Oil
Salt
Spices (cumin powder, coriander powder, red chili powder, etc.) - optional",https://img-global.cpcdn.com/recipes/ba32bb43f08638f1/1360x964cq70/masala-poori-with-white-chana-recipe-main-photo.webp,Breakfast,Veg
22,Samosa,1 piece,30,10,5,250,Nepali,"All-purpose flour (Maida)
Potatoes, boiled and mashed
Peas
Onions, finely chopped
Green chilies, finely chopped
Ginger, grated
Cumin seeds
Garam masala
Turmeric powder
Coriander leaves, chopped
Salt
Oil",https://www.cookwithnabeela.com/wp-content/uploads/2023/06/AlooSamosa3-768x768.webp,Snack,Non-Veg
23,Aloo Paratha,100g,40,15,6,300,Nepali,"Whole wheat flour (Atta)
Potatoes, boiled and mashed
Onions, finely chopped (optional)
Green chilies, finely chopped (optional)
Ginger, grated (optional)
Coriander leaves, chopped (optional)
Cumin seeds
Red chili powder
Garam masala
Turmeric powder
Salt
Ghee (clarified butter)",https://www.homemakerjob.com/wp-content/uploads/2022/09/Punjabi-aloo-alu-paratha-recipe-dhaba-style-photo-image-by-homemakerjob.com_.jpg, Breakfast,Veg
24,Thukpa,350g,45,10,15,270,Nepali,"Noodles (any type like wheat, rice, or egg noodles)
Chicken, beef, or vegetables (carrots, cabbage, bell peppers, etc.), thinly sliced
Onion, finely chopped
Garlic, minced
Ginger, grated
Green chilies, finely chopped (optional)
Turmeric powder
Cumin powder
Soy sauce
Salt
Oil
Water or chicken/vegetable broth
Fresh cilantro, chopped
Lemon juice",https://c.ndtvimg.com/2023-05/740b45a8_thupka_625x300_16_May_23.jpg,Dinner,Non-Veg
25,Gundruk,1 cup,7,4,5,70,Nepali,"Leafy greens (usually mustard greens or radish greens)
Turmeric powder
Asafoetida (hing)
Salt",https://healthytraditionalfood.files.wordpress.com/2020/09/img_5765.jpg,Dinner,Veg
26,Aloo Chop,1 piece,10,6,2,100,Nepali,"Potatoes, boiled and mashed
Onions, finely chopped
Green chilies, finely chopped
Ginger, grated
Turmeric powder
Red chili powder
Garam masala
Salt
Bread crumbs
Oil for frying",https://i0.wp.com/myyellowapron.com/wp-content/uploads/2022/04/aloo-chop-recipe-oriya-style8.jpeg?resize=768%2C1156&ssl=1,Snack,Veg
27,Sikarni,100g,15,10,5,150,Nepali,"Yogurt
Sugar or honey
Fresh fruits (such as bananas, apples, oranges, etc.), chopped
Ground cardamom
Chopped nuts (almonds, pistachios, cashews)
Raisins",https://actionagainsthunger.ca/cms/wp-content/uploads/2016/03/sikarni5.jpg,Dessert,Veg
28,Vegetable Macaroni,1 cup,19,10,4,174,Nepali,"Macaroni pasta
Assorted vegetables (carrots, bell peppers, peas, corn, etc.), chopped
Onion, finely chopped
Garlic, minced
Tomato, finely chopped
Tomato sauce or ketchup
Soy sauce
Red chili sauce (optional)
Salt
Oil",https://www.gimmesomeoven.com/wp-content/uploads/2012/08/Roasted-Vegetable-Mac-and-Cheese-Recipe-1.jpg,Dinner,Veg
29,Fapar Roti,100 g,70,5,12,350,Nepali,"Buckwheat flour or millet flour (makkai ko atta)
Water
Salt
Ghee (clarified butter)",http://lh3.ggpht.com/FQY4D1k-W1OVUCqGJm3eCqPTZhfqXD83u5RjLOsVB5iTFiKXYbzWhFIHm0MBClOQt3OVWfK9hGCYqKNw_EObVa4Kaw=s800, Dinner,Veg
30,Sewai,100g,70,2,6,380,Nepali,"Vermicelli (sewai)
Milk
Sugar
Ghee (clarified butter)
Assorted nuts (almonds, pistachios, cashews, raisins)
Saffron strands (optional)
Cardamom powder",https://4.bp.blogspot.com/-DuT9FC2C3VY/UVKvhwUkhJI/AAAAAAAAC_U/lzw2kfrtHZc/s400/image_1+(1).jpg,Dessert,Veg
31,Chickepea Curry,1 cup,40,5,10,240,Pakistani,"Chickpeas (chana), soaked and boiled
Onion, finely chopped
Tomatoes, finely chopped
Ginger-garlic paste
Green chilies, slit
Turmeric powder
Cumin powder
Coriander powder
Garam masala
Red chili powder
Salt
Oil
Fresh cilantro, chopped",https://poshjournal.com/wp-content/uploads/2022/06/chickpea-curry-recipe-10.jpg, Dinner,Veg
32,Chapli Kebab,50g,5,10,10,155,Pakistani,"Ground meat (beef or lamb)
Onion, finely chopped
Tomato, finely chopped
Green chilies, finely chopped
Fresh cilantro, chopped
Ginger-garlic paste
Coriander powder
Cumin powder
Red chili powder
Garam masala
Egg
Tomatoes, sliced (for garnish)
Oil",https://i0.wp.com/fatimacooks.net/wp-content/uploads/2022/06/chapli-kabab.png?resize=540%2C720&ssl=1,Snack,Non-Veg
33,Nihari,250g,15,20,30,420,Pakistani,"Beef or lamb shank, cut into pieces
Onion, finely chopped
Ginger-garlic paste
Wheat flour (atta)
Turmeric powder
Red chili powder
Coriander powder
Cumin powder
Garam masala
Bone marrow (optional)
Oil or ghee (clarified butter)
Water or beef/lamb broth
Fresh cilantro, chopped (for garnish)
Ginger julienne (for garnish)
Lemon wedges",https://static01.nyt.com/images/2023/03/01/multimedia/01BEEF-STEWrex4-oxtail-nihari--qvmh/01BEEF-STEWrex4-oxtail-nihari--qvmh-superJumbo.jpg,Dinner,Non-Veg
34,Haleem,1 cup,40,10,15,320,Pakistani,"Bone-in mutton or chicken, cooked and shredded
Wheat or barley, soaked and cooked until soft
Lentils (chana dal, moong dal, masoor dal), soaked and cooked until soft
Rice, soaked and cooked until soft
Onion, finely chopped and fried until golden brown (for garnish)
Ginger-garlic paste
Turmeric powder
Red chili powder
Garam masala
Coriander powder
Cumin powder
Oil or ghee (clarified butter)
Water or meat broth
Fresh cilantro, chopped (for garnish)
Ginger julienne (for garnish)
Lemon wedges",https://www.licious.in/blog/wp-content/uploads/2022/04/Chicken-Haleem-Cooked-min-compressed-1024x683.jpg,Dinner,Non-Veg
35,Seekh Kebab,1 kebab,1,10,10,170,Pakistani,"Ground meat (beef, lamb, or chicken)
Onion, finely chopped
Green chilies, finely chopped
Ginger-garlic paste
Fresh cilantro, chopped
Cumin powder
Coriander powder
Red chili powder
Garam masala
Salt
Skewers (metal or bamboo)
Oil or ghee (clarified butter)",https://c.ndtvimg.com/2020-01/a39okhfk_620_625x300_21_January_20.jpg,Snack,Non-Veg
36,Biryani,200g,50,10,10,350,Pakistani,"Basmati rice
Chicken, mutton, or vegetables
Onion, thinly sliced and fried until golden brown (for garnish)
Yogurt
Ginger-garlic paste
Garam masala
Red chili powder
Turmeric powder
Cumin powder
Coriander powder
Saffron strands soaked in milk (for biryani rice layer)
Fresh cilantro and mint leaves, chopped
Ghee (clarified butter)
Oil
Water or chicken/mutton broth
Lemon wedges",https://www.licious.in/blog/wp-content/uploads/2020/12/Hyderabadi-chicken-Biryani.jpg,Dinner,Non-Veg
37,Chicken Tikka,100g,4,5,25,160,Pakistani,"Chicken, cut into pieces
Yogurt
Ginger-garlic paste
Garam masala
Red chili powder
Turmeric powder
Cumin powder
Coriander powder
Lemon juice
Oil or ghee (clarified butter)
Skewers (metal or bamboo)",https://www.flavorquotient.com/wp-content/uploads/2020/04/Chicken-Tikka-FQ-4-1-of-1.jpg,Snack,Non-Veg
38,Chapli Kebab,50g,5,10,10,150,Pakistani,"500 grams (1 lb) ground meat (beef, lamb, or a combination of both)
1 medium-sized onion, finely chopped
2 tomatoes, finely chopped
2-3 green chilies, finely chopped
1/4 cup fresh cilantro, chopped
1/4 cup fresh mint leaves, chopped
1 tablespoon ginger-garlic paste
1 teaspoon coriander powder
1 teaspoon cumin powder
1 teaspoon red chili powder (adjust to your preferred level of spiciness)
1/2 teaspoon turmeric powder
1/2 teaspoon garam masala
1 egg
1/4 cup besan (gram flour) or cornmeal
Salt, to taste
Cooking oil, for frying",https://i0.wp.com/fatimacooks.net/wp-content/uploads/2022/06/chapli-kabab.png?resize=540%2C720&ssl=1, Snack,Non-Veg
39,Sindhi Biryani,300g,60,10,10,450,Pakistani,"Basmati rice
Bone-in mutton or chicken, cut into pieces
Onion, thinly sliced and fried until golden brown (for garnish)
Yogurt
Ginger-garlic paste
Garam masala
Red chili powder
Turmeric powder
Cumin powder
Coriander powder
Mint leaves, chopped
Fresh cilantro, chopped
Green chilies, slit
Ghee (clarified butter)
Oil
Water or mutton/chicken broth
Lemon wedges",https://www.sanjeevkapoor.com/UploadFiles/RecipeImages/Sindhi-Biryani---SK-Khazana.jpg,Dinner,Veg
40,Ema Datshi,200g,9,20,8,280,Bhutanese,"Green chilies (preferably Bhutanese or Thai chilies)
Cheese (Bhutanese yak cheese or any mild cheese)
Onion, thinly sliced
Garlic, minced
Salt
Water or broth",https://www.dailybhutan.com/pub_files/00030307894626/how-to-make-your-own-ema-datshi-chilli-cheese-in-10-minutes_1560.jpg,Dinner,Non-Veg
41,Jasha Maroo,200g,6,15,25,260,Bhutanese,"Chicken, cut into pieces
Onions, thinly sliced
Garlic, minced
Ginger, grated
Tomatoes, chopped
Green chilies, slit
Dried red chilies
Turmeric powder
Red chili powder
Sichuan pepper powder (timur)
Salt
Water or chicken broth
Cooking oil",https://visa-help.com/wp-content/uploads/2020/04/mary.jpg,Dinner,Veg
42,Suja,240ml,0,8,0,80,Bhutanese,"Black tea leaves (Pemagul or similar)
Water
Salt
Butter (traditionally yak butter, but you can use regular butter)
Milk or milk powder (optional)
Sugar (optional)",https://img-global.cpcdn.com/recipes/2abe6abe69433224/1360x964cq70/cameroon-suja-recipe-main-photo.webp,Beverage,Veg
43,Hoentay,150g,25,10,15,250,Bhutanese,"For the dough:

All-purpose flour
Water
For the filling:

Ground meat (beef, pork, or a combination)
Cabbage, finely chopped
Onions, finely chopped
Garlic, minced
Ginger, grated
Green chilies, finely chopped
Coriander leaves, chopped
Salt
Sichuan pepper powder (timur)
Cooking oil",https://yeshirunsforfood.files.wordpress.com/2019/11/60162179_122488352281151_6872747027007920246_n.jpg,Dessert,Veg
44,Kewa Datshi,200g,20,15,8,240,Bhutanese,"Potatoes, peeled and cut into cubes
Bhutanese cheese (datshi), crumbled (you can use any mild cheese like feta or farmer's cheese as a substitute)
Onion, thinly sliced
Green chilies, slit
Garlic, minced
Cooking oil or butter
Water or vegetable broth
Salt",https://i.ytimg.com/vi/RqkeIaQ7C5U/hqdefault.jpg,Dinner,Veg
45,Red Rice,200g,40,1,5,180,Bhutanese,"Bhutanese red rice (alternatively, you can use any short-grain rice with a nutty flavor)",https://visa-help.com/wp-content/uploads/2020/04/red-rice.jpg,Dinner,Veg
46,Khur-le,50g,10,3,2,80,Bhutanese,"Buckwheat flour
Water
Salt
Cooking oil",https://wfg32p.s3.amazonaws.com/media/dishes/khur-le_5939-reg.jpg,Breakfast,Veg
47,Datshi,200g,10,25,15,300,Bhutanese,"Leftover cooked rice
Water or milk
Butter or cooking oil
Salt",https://assets.traveltriangle.com/blog/wp-content/uploads/2018/10/Zow-Shungo.jpg,Dinner,Veg
48,Shakam Paa,200g,5,25,30,380,Bhutanese,"Dried beef or yak meat, soaked and cut into small pieces
Onions, thinly sliced
Garlic, minced
Ginger, grated
Green chilies, slit
Dried red chilies
Turmeric powder
Red chili powder
Sichuan pepper powder (timur)
Salt
Water or beef broth
Cooking oil",https://assets.traveltriangle.com/blog/wp-content/uploads/2018/10/Shakam-Paa.jpg,Dinner,Non-Veg
49,Fihunu Mas,150g,20,5,30,150,Maldivian,"Fish fillets (traditionally tuna, but you can use any firm white fish)
Garlic, minced
Ginger, grated
Curry leaves, chopped
Turmeric powder
Red chili powder
Salt
Lemon juice or vinegar
Cooking oil",https://static.finmail.com/wp-content/uploads/2021/10/22213020/maxresdefault-2-600x338.jpg, Dinner,Veg
50,Hedhikaa,20g,10,5,2,100,Maldivian,"All-purpose flour
Water
Grated coconut
Sugar
Cooking oil",https://live.staticflickr.com/7037/27277581401_232d10f84e_b.jpg,Snack,Non-Veg
51,Bis Keemiya,40g,15,10,5,150,Maldivian,"Ingredients:
For the dough:

All-purpose flour
Water
Salt
For the filling:

Cabbage, finely chopped
Carrots, grated
Onions, finely chopped
Garlic, minced
Ginger, grated
Green chilies, finely chopped
Curry leaves, chopped
Turmeric powder
Red chili powder
Salt
Cooking oil",https://static.finmail.com/wp-content/uploads/2021/04/06142412/spring-roll-egg-roll-1-1.jpg,Snack,Veg
52,Mashuni,200g,10,10,15,200,Maldivian,"Canned tuna or fresh tuna, cooked and flaked
Grated coconut
Onion, finely chopped
Green chilies, finely chopped
Curry leaves, chopped
Lime or lemon juice
Salt","https://static.wixstatic.com/media/0d9289_3e864bd4f21d43e1a96a801f712b4d3c~mv2.jpg/v1/fill/w_680,h_476,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/0d9289_3e864bd4f21d43e1a96a801f712b4d3c~mv2.jpg",Dinner,Veg
53,Mas Huni,200g,15,10,10,200,Maldivian,"For the dough:

All-purpose flour
Water
Salt
Cooking oil
For the filling:

Canned tuna or fresh tuna, cooked and flaked
Grated coconut
Onions, finely chopped
Green chilies, finely chopped
Curry leaves, chopped
Turmeric powder
Red chili powder
Salt
Cooking oil",https://www.holidify.com/images/cmsuploads/compressed/masroshi_20180726111905.JPG,Breakfast,Veg
54,Garudhiya,250g,10,5,30,200,Maldivian,"Fish (traditionally tuna, but any firm white fish can be used)
Water
Salt
Freshly ground black pepper
Lime or lemon juice
Curry leaves
Garlic, minced
Ginger, grated
Onion, thinly sliced
Green chilies, slit",https://www.holidify.com/images/cmsuploads/compressed/garudhiya_20180726111600.jpg,Dinner,Veg
55,Huni Roshi,50g,20,10,5,200,Maldivian,"All-purpose flour
Grated coconut
Water
Salt
Cooking oil",https://lonumedhu.com/sites/default/files/HuniRoshiSmall.jpg,Breakfast,Veg
56,Kabuli Pulao,1 cup,55,10,15,380,Afghani,"Basmati rice
Lamb or mutton, cut into pieces
Onions, thinly sliced
Garlic, minced
Ginger, grated
Carrots, julienned
Raisins
Cooking oil or ghee
Water or lamb/mutton broth
Ground spices (cinnamon, cardamom, cloves)
Salt",https://afghancooks.com/wp-content/uploads/2022/07/IMG_0858_jpg-1024x576.jpg.webp,Dinner,Non-Veg
57,Mantu,5 pieces,40,10,15,320,Afghani,"For the dough:

All-purpose flour
Water
Salt
For the filling:

Ground beef or lamb
Onions, finely chopped
Garlic, minced
Ginger, grated
Ground spices (cumin, coriander, paprika)
Black pepper
Salt
Cooking oil
For the topping:

Yogurt
Garlic, minced
Dried mint
Ground paprika",https://cookingcounty.com/wp-content/uploads/2022/01/mantu-recipe.jpg,Dinner,Veg
58,Bolani,1 piece,25,10,5,200,Afghani,"For the dough:

All-purpose flour
Water
Salt
Cooking oil
For the filling:

Potatoes, boiled and mashed
Green onions, finely chopped
Fresh cilantro, chopped
Ground coriander
Ground cumin
Salt
Cooking oil",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Bolani.jpg/1024px-Bolani.jpg,Dinner,Veg
59,Bolani Kachaloo,1 piece,35,10,5,250,Afghani,"For the dough:

All-purpose flour
Water
Salt
Cooking oil
For the filling:

Potatoes, boiled and mashed
Onions, finely chopped
Garlic, minced
Green chilies, finely chopped
Ground coriander
Ground cumin
Salt
Cooking oil",https://i0.wp.com/tarasmulticulturaltable.com/wp-content/uploads/2020/10/Bolani-Kadoo-Afghan-Pumpkin-Stuffed-Flatbread-5-of-5.jpg?resize=768%2C512&ssl=1,Dinner,Veg
60,Naan,1 piece,40,5,7,250,Afghani,"All-purpose flour
Water
Yogurt
Yeast
Sugar
Salt
Baking powder
Cooking oil or ghee","https://hips.hearstapps.com/hmg-prod/images/211021-delish-seo-naan-horizontal-0128-eb-1635447725.jpg?crop=0.949xw:0.911xh;0.0323xw,0.0127xh&resize=980:*",Dinner,Veg
61,Firni,1 cup,30,10,5,220,Afghani,"Basmati rice, soaked in water for 1-2 hours
Milk
Sugar
Saffron strands (optional)
Cardamom powder
Rose water
Chopped nuts (almonds, pistachios) for garnish",https://www.funfoodfrolic.com/wp-content/uploads/2020/10/Phirni-1.jpg, Dessert,Veg
62,Ashak,5 pieces,40,10,15,320,Afghani,"For the dough:
All-purpose flour
Water
Salt

For the filling:
Leeks, finely chopped
Green onions, finely chopped
Garlic, minced
Coriander leaves, chopped
Ground coriander
Ground cumin
Salt
Cooking oil

For the topping:
Yogurt
Garlic, minced
Dried mint
Ground paprika
",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRI4V5ccwmKUSDrRkeeSqwicGrLWrIFZn80ug&usqp=CAU,Dinner,Veg
63,Hoppers,50g,23,10,5,160,Sri Lankan,"Rice flour
Coconut milk
Active dry yeast (optional)
Sugar
Salt
Baking soda
Coconut oil (for greasing)",https://myloveofbaking.com/wp-content/uploads/2019/08/IMG_1036.jpg,Breakfast,Non-Veg
64,Kottu Roti,230g,45,10,12,350,Sri Lankan,"Leftover roti or paratha, chopped into small pieces
Vegetables (onions, carrots, cabbage, leeks), finely chopped
Eggs (optional)
Curry leaves
Garlic, minced
Ginger, grated
Green chilies, finely chopped
Turmeric powder
Curry powder
Soy sauce
Salt
Pepper
Cooking oil", https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Chicken_Kottu.jpg/330px-Chicken_Kottu.jpg,Dinner,Non-Veg
65,Lamprais,300g,50,15,10,400,Sri Lankan,"For the rice:

Basmati rice
Water or chicken broth
Cardamom pods
Cloves
Cinnamon stick
For the meat and banana curry:

Chicken or beef, cut into pieces
Onions, thinly sliced
Garlic, minced
Ginger, grated
Curry powder
Chili powder (optional, for spiciness)
Turmeric powder
Coconut milk
Ripe bananas, peeled and sliced

For the frikkadels (meatballs):

Ground beef
Onions, finely chopped
Garlic, minced
Bread crumbs
Egg
Salt and pepper
For the eggplant pickle:

Eggplant, thinly sliced
Vinegar
Sugar
Salt

For wrapping:
Banana leaves or aluminium foil",https://romandianmasala.com/wp-content/uploads/2021/07/lamprais1-768x917.jpeg,Dinner,Veg
66,Coconut Sambol,15g,2,3,1,45,Sri Lankan,"Freshly grated coconut
Red onions, finely chopped
Green chilies, finely chopped
Lime or lemon juice
Salt
Chili powder (optional, for spiciness)","https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_768/https://www.topsrilankanrecipe.com/wp-content/uploads/2017/11/7a-2-768x576.jpg", Side Dish,Veg
67,Watalappan,100g,25,10,3,250,Sri Lankan,"Coconut milk
Jaggery or brown sugar
Eggs
Cardamom powder
Nutmeg powder
Cashew nuts or almonds (optional, for garnish)",https://www.yovizag.com/wp-content/uploads/2016/12/Watlappan_web2.jpg,Dessert,Veg
